ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2022-04-15T15:00:00.000,0.73,187.73,-0.72,-0.10
2022-04-15T15:02:00.000,1.70,230.20,-1.09,-1.30
2022-04-15T15:04:00.000,0.53,257.57,-0.12,-0.52
2022-04-15T15:06:00.000,0.63,77.97,0.13,0.61
2022-04-15T15:08:00.000,2.19,327.25,1.85,-1.19
2022-04-15T15:10:00.000,3.32,27.37,2.95,1.53
2022-04-15T15:12:00.000,4.63,213.79,-3.85,-2.58
2022-04-15T15:14:00.000,2.72,15.12,2.63,0.71
2022-04-15T15:16:00.000,2.40,335.13,2.18,-1.01
2022-04-15T15:18:00.000,1.16,335.84,1.06,-0.48
2022-04-15T15:20:00.000,3.94,199.29,-3.72,-1.30
2022-04-15T15:22:00.000,0.67,123.15,-0.36,0.56
2022-04-15T15:24:00.000,1.31,207.54,-1.16,-0.61
2022-04-15T15:26:00.000,1.89,358.74,1.89,-0.04
2022-04-15T15:28:00.000,0.76,125.29,-0.44,0.62
2022-04-15T15:30:00.000,2.62,25.48,2.37,1.13
2022-04-15T15:32:00.000,0.61,89.21,0.01,0.61
2022-04-15T15:34:00.000,3.96,187.82,-3.92,-0.54
2022-04-15T15:36:00.000,4.55,0.06,4.55,0.00
2022-04-15T15:38:00.000,5.73,3.24,5.72,0.32
2022-04-15T15:40:00.000,0.76,10.58,0.75,0.14
2022-04-15T15:42:00.000,1.23,54.31,0.71,1.00
2022-04-15T15:44:00.000,1.34,34.39,1.10,0.75
2022-04-15T15:46:00.000,7.48,357.82,7.47,-0.29
2022-04-15T15:48:00.000,1.58,8.39,1.56,0.23
2022-04-15T15:50:00.000,0.96,23.18,0.88,0.38
2022-04-15T15:52:00.000,2.47,329.76,2.13,-1.24
2022-04-15T15:54:00.000,7.02,35.21,5.73,4.05
2022-04-15T15:56:00.000,3.05,0.64,3.05,0.03
2022-04-15T15:58:00.000,2.86,313.74,1.98,-2.07
2022-04-15T16:00:00.000,3.65,11.73,3.58,0.74
2022-04-15T16:02:00.000,2.93,343.37,2.81,-0.84
2022-04-15T16:04:00.000,2.13,19.45,2.01,0.71
2022-04-15T16:06:00.000,2.92,29.63,2.54,1.44
