data2,data1,loggerUid,logDateTime,dateTime
19.63,20.46,FE23BC74DC01,1620990900,14-05-2021 11:15:00
19.88,81.84,FE23BC74DC01,1620991800,14-05-2021 11:30:00
19.88,79.42,FE23BC74DC01,1620992700,14-05-2021 11:45:00
16.44,535.04,FE23BC74DC01,1620993600,14-05-2021 12:00:00
13.13,0,FE23BC74DC01,1620994500,14-05-2021 12:15:00
12,81.4,FE23BC74DC01,1620995400,14-05-2021 12:30:00
13.38,22.66,FE23BC74DC01,1620996300,14-05-2021 12:45:00
13.44,63.58,FE23BC74DC01,1620997200,14-05-2021 13:00:00
13.13,46.86,FE23BC74DC01,1620998100,14-05-2021 13:15:00
13.38,37.84,FE23BC74DC01,1620999000,14-05-2021 13:30:00
13.81,27.72,FE23BC74DC01,1620999900,14-05-2021 13:45:00
13.94,25.52,FE23BC74DC01,1621000800,14-05-2021 14:00:00
14.06,27.28,FE23BC74DC01,1621001700,14-05-2021 14:15:00
13.63,12.540000000000001,FE23BC74DC01,1621002600,14-05-2021 14:30:00
13.81,13.64,FE23BC74DC01,1621003500,14-05-2021 14:45:00
14.38,12.32,FE23BC74DC01,1621004400,14-05-2021 15:00:00
15.06,10.56,FE23BC74DC01,1621005300,14-05-2021 15:15:00
15.31,11,FE23BC74DC01,1621006200,14-05-2021 15:30:00
15.56,14.08,FE23BC74DC01,1621007100,14-05-2021 15:45:00
15.81,19.8,FE23BC74DC01,1621008000,14-05-2021 16:00:00
15.81,16.5,FE23BC74DC01,1621008900,14-05-2021 16:15:00
16,16.5,FE23BC74DC01,1621009800,14-05-2021 16:30:00
16.06,18.26,FE23BC74DC01,1621010700,14-05-2021 16:45:00
16.38,17.16,FE23BC74DC01,1621011600,14-05-2021 17:00:00
16.94,19.36,FE23BC74DC01,1621012500,14-05-2021 17:15:00
17.06,19.14,FE23BC74DC01,1621013400,14-05-2021 17:30:00
17.25,21.34,FE23BC74DC01,1621014300,14-05-2021 17:45:00
17.25,16.5,FE23BC74DC01,1621015200,14-05-2021 18:00:00
10,784.52,FE23BC74DC01,1621016100,14-05-2021 18:15:00
7.5,480.48,FE23BC74DC01,1621017000,14-05-2021 18:30:00
7.19,1620.96,FE23BC74DC01,1621017900,14-05-2021 18:45:00
7.19,1529,FE23BC74DC01,1621018800,14-05-2021 19:00:00
7.19,1094.94,FE23BC74DC01,1621019700,14-05-2021 19:15:00
7.19,494.12,FE23BC74DC01,1621020600,14-05-2021 19:30:00
7.19,1011.12,FE23BC74DC01,1621021500,14-05-2021 19:45:00
7.19,1621.84,FE23BC74DC01,1621022400,14-05-2021 20:00:00
7.13,739.2,FE23BC74DC01,1621023300,14-05-2021 20:15:00
7.13,206.36,FE23BC74DC01,1621024200,14-05-2021 20:30:00
7.19,956.78,FE23BC74DC01,1621025100,14-05-2021 20:45:00
7.19,443.08,FE23BC74DC01,1621026000,14-05-2021 21:00:00
7.25,634.7,FE23BC74DC01,1621026900,14-05-2021 21:15:00
7.25,833.8,FE23BC74DC01,1621027800,14-05-2021 21:30:00
7.38,695.42,FE23BC74DC01,1621028700,14-05-2021 21:45:00
7.44,433.4,FE23BC74DC01,1621029600,14-05-2021 22:00:00
7.5,364.1,FE23BC74DC01,1621030500,14-05-2021 22:15:00
7.5,407.22,FE23BC74DC01,1621031400,14-05-2021 22:30:00
7.63,392.48,FE23BC74DC01,1621032300,14-05-2021 22:45:00
7.63,240.24,FE23BC74DC01,1621033200,14-05-2021 23:00:00
7.56,132.66,FE23BC74DC01,1621034100,14-05-2021 23:15:00
7.63,78.76,FE23BC74DC01,1621035000,14-05-2021 23:30:00
7.69,35.42,FE23BC74DC01,1621035900,14-05-2021 23:45:00
7.69,11.22,FE23BC74DC01,1621036800,15-05-2021 00:00:00
7.69,1.54,FE23BC74DC01,1621037700,15-05-2021 00:15:00
7.69,0.22,FE23BC74DC01,1621038600,15-05-2021 00:30:00
7.69,0,FE23BC74DC01,1621039500,15-05-2021 00:45:00
7.63,0,FE23BC74DC01,1621040400,15-05-2021 01:00:00
7.63,0,FE23BC74DC01,1621041300,15-05-2021 01:15:00
7.5,0,FE23BC74DC01,1621042200,15-05-2021 01:30:00
7.44,0,FE23BC74DC01,1621043100,15-05-2021 01:45:00
7.44,0,FE23BC74DC01,1621044000,15-05-2021 02:00:00
7.44,0,FE23BC74DC01,1621044900,15-05-2021 02:15:00
7.44,0,FE23BC74DC01,1621045800,15-05-2021 02:30:00
7.44,0,FE23BC74DC01,1621046700,15-05-2021 02:45:00
7.44,0,FE23BC74DC01,1621047600,15-05-2021 03:00:00
7.5,0,FE23BC74DC01,1621048500,15-05-2021 03:15:00
7.44,0,FE23BC74DC01,1621049400,15-05-2021 03:30:00
7.44,0,FE23BC74DC01,1621050300,15-05-2021 03:45:00
7.44,0,FE23BC74DC01,1621051200,15-05-2021 04:00:00
7.44,0,FE23BC74DC01,1621052100,15-05-2021 04:15:00
7.38,0,FE23BC74DC01,1621053000,15-05-2021 04:30:00
7.38,0,FE23BC74DC01,1621053900,15-05-2021 04:45:00
7.31,0,FE23BC74DC01,1621054800,15-05-2021 05:00:00
7.31,0,FE23BC74DC01,1621055700,15-05-2021 05:15:00
7.31,0,FE23BC74DC01,1621056600,15-05-2021 05:30:00
7.38,0,FE23BC74DC01,1621057500,15-05-2021 05:45:00
7.38,0,FE23BC74DC01,1621058400,15-05-2021 06:00:00
7.38,0,FE23BC74DC01,1621059300,15-05-2021 06:15:00
7.38,0,FE23BC74DC01,1621060200,15-05-2021 06:30:00
7.38,0,FE23BC74DC01,1621061100,15-05-2021 06:45:00
7.38,0,FE23BC74DC01,1621062000,15-05-2021 07:00:00
7.31,0,FE23BC74DC01,1621062900,15-05-2021 07:15:00
7.25,0,FE23BC74DC01,1621063800,15-05-2021 07:30:00
7.19,0,FE23BC74DC01,1621064700,15-05-2021 07:45:00
7.19,0,FE23BC74DC01,1621065600,15-05-2021 08:00:00
7.25,0,FE23BC74DC01,1621066500,15-05-2021 08:15:00
7.25,0,FE23BC74DC01,1621067400,15-05-2021 08:30:00
7.25,0,FE23BC74DC01,1621068300,15-05-2021 08:45:00
7.31,4.18,FE23BC74DC01,1621069200,15-05-2021 09:00:00
7.25,20.02,FE23BC74DC01,1621070100,15-05-2021 09:15:00
7.25,56.32,FE23BC74DC01,1621071000,15-05-2021 09:30:00
7.25,115.06,FE23BC74DC01,1621071900,15-05-2021 09:45:00
7.25,199.32,FE23BC74DC01,1621072800,15-05-2021 10:00:00
7.25,317.68,FE23BC74DC01,1621073700,15-05-2021 10:15:00
7.31,361.9,FE23BC74DC01,1621074600,15-05-2021 10:30:00
7.44,557.92,FE23BC74DC01,1621075500,15-05-2021 10:45:00
7.5,799.04,FE23BC74DC01,1621076400,15-05-2021 11:00:00
7.56,1002.76,FE23BC74DC01,1621077300,15-05-2021 11:15:00
7.56,1209.1200000000001,FE23BC74DC01,1621078200,15-05-2021 11:30:00
7.56,1431.54,FE23BC74DC01,1621079100,15-05-2021 11:45:00
7.63,1672.88,FE23BC74DC01,1621080000,15-05-2021 12:00:00
7.69,1892.44,FE23BC74DC01,1621080900,15-05-2021 12:15:00
7.69,2100.12,FE23BC74DC01,1621081800,15-05-2021 12:30:00
7.69,2297.2400000000002,FE23BC74DC01,1621082700,15-05-2021 12:45:00
